Пол,Год,Возрастная категория,Значение,Рейтинг
woman,2016,60-64,1490.0,4
woman,2016,20-24,2379.0,5
woman,2016,55-59,3308.0,6
woman,2016,45-49,4410.0,7
woman,2016,40-44,4772.0,8
woman,2016,35-39,4937.0,9
woman,2016,50-54,5067.0,10
woman,2016,25-29,5109.0,11
woman,2016,30-34,5118.0,12
woman,2017,70 и старше,146.0,1
woman,2017,15-19,215.0,2
woman,2017,65-69,491.0,3
woman,2017,60-64,1452.0,4
woman,2017,20-24,2106.0,5
woman,2017,55-59,3353.0,6
woman,2017,45-49,4451.0,7
woman,2017,50-54,4821.0,8
woman,2017,40-44,4856.0,9
woman,2017,35-39,5070.0,10
woman,2017,25-29,5088.0,11
woman,2017,30-34,5194.0,12
woman,2018,70 и старше,188.0,1
woman,2018,15-19,221.0,2
woman,2018,65-69,544.0,3
woman,2018,60-64,1543.0,4
woman,2018,20-24,1956.0,5
woman,2018,55-59,3440.0,6
woman,2018,45-49,4480.0,7
woman,2018,50-54,4601.0,8
woman,2018,25-29,4860.0,9
woman,2018,40-44,4953.0,10
woman,2018,35-39,5133.0,11
woman,2018,30-34,5397.0,12
woman,2019,15-19,197.0,1
woman,2019,70 и старше,202.0,2
woman,2019,65-69,601.0,3
woman,2019,60-64,1591.0,4
woman,2019,20-24,1879.0,5
woman,2019,55-59,3471.0,6
woman,2019,50-54,4381.0,7
woman,2019,25-29,4481.0,8
woman,2019,45-49,4568.0,9
woman,2019,40-44,4964.0,10
woman,2019,35-39,5203.0,11
woman,2019,30-34,5449.0,12
woman,2020,15-19,183.0,1
woman,2020,70 и старше,183.0,2
woman,2020,65-69,602.0,3
woman,2020,60-64,1698.0,4
woman,2020,20-24,1828.0,5
woman,2020,55-59,3586.0,6
woman,2020,25-29,4088.0,7
woman,2020,50-54,4257.0,8
woman,2020,45-49,4659.0,9
woman,2020,40-44,5061.0,10
woman,2020,35-39,5328.0,11
woman,2020,30-34,5404.0,12
woman,2021,70 и старше,177.0,1
woman,2021,15-19,186.0,2
woman,2021,65-69,585.0,3
woman,2021,60-64,1700.0,4
woman,2021,20-24,1823.0,5
woman,2021,55-59,3708.0,6
woman,2021,25-29,3773.0,7
woman,2021,50-54,4227.0,8
woman,2021,45-49,4773.0,9
woman,2021,40-44,5164.0,10
woman,2021,35-39,5480.0,11
woman,2021,30-34,5482.0,12
woman,2022,70 и старше,161.0,1
woman,2022,15-19,171.0,2
woman,2022,65-69,582.0,3
woman,2022,20-24,1679.0,4
woman,2022,60-64,1791.0,5
woman,2022,25-29,3453.0,6
woman,2022,55-59,3718.0,7
woman,2022,50-54,4324.0,8
woman,2022,45-49,4865.0,9
woman,2022,40-44,5324.0,10
woman,2022,30-34,5407.0,11
woman,2022,35-39,5581.0,12
woman,2023,70 и старше,158.0,1
woman,2023,15-19,207.0,2
woman,2023,65-69,575.0,3
woman,2023,20-24,1655.0,4
woman,2023,60-64,1877.0,5
woman,2023,25-29,3306.0,6
woman,2023,55-59,3742.0,7
woman,2023,50-54,4376.0,8
woman,2023,45-49,4995.0,9
woman,2023,30-34,5157.0,10
woman,2023,40-44,5351.0,11
woman,2023,35-39,5761.0,12
